Water_Supply_Scheme,Sample_Code,EC,pH,Turbidity,TDS,Alkalinity,HCO3,CO3,Cl,SO4,Ca,Mg,Hardness,Na,K,NO3_N,PO_{4},F,Fe,As
Jand khunda,I/Att/Jan/25/C/1,3430.0,7.3,443.0,2127.0,5.6,280,23.57196261682243,780.0,368.0,176.0,53.0,660.0,497.0,1.0,1.0,0.14,0.55,0.05,0.66
,I/Att/Jan/25/C/2,4510.0,7.6,376.0,2796.0,7.0,350,23.57196261682243,950.0,355.0,86.0,102.0,635.0,730.0,3.0,65.0,0.16,0.94,0.05,2.0
Pind Sultani,H/Att/Jan/85/S/1,1100.0,7.5,3.95,496.0,4.7,235,23.57196261682243,98.0,49.0,68.0,11.0,215.0,94.0,2.0,2.0,0.17,0.2,0.1,0.54
,H/Att/Jan/85/C/1,1041.0,7.76,0.11,625.0,5.5,275,23.57196261682243,81.0,130.0,28.0,26.0,175.0,161.0,3.0,2.0,0.13,0.29,0.05,2.64
,H/Att/Jan/85/C/2,720.0,7.95,0.0,432.0,3.4,170,23.57196261682243,77.0,70.0,24.0,21.0,145.0,101.0,2.0,3.0,0.1,0.24,0.07,3.34
Thatti Syedan,H/Att/Jan/86/S/1,1063.0,7.9,0.32,402.0,3.5,370,23.57196261682243,55.0,17.0,35.0,40.0,140.0,217.0,0.8,2.0,0.11,2.21,0.12,8.21
,H/Att/Jan/86/C/1,3250.0,7.66,13.3,1950.0,8.0,400,23.57196261682243,477.0,610.0,198.0,210.0,1360.0,135.0,5.0,1.0,0.09,0.43,0.07,0.53
,H/Att/Jan/86/C/2,2320.0,7.38,14.2,1438.0,8.6,430,23.57196261682243,355.0,224.0,72.0,32.0,310.0,401.0,1.0,6.0,0.14,0.94,0.05,0.41
Mathial,H/Att/Jan/87/S/1,940.0,7.64,0.29,564.0,4.0,200,23.57196261682243,100.0,120.0,68.0,24.0,270.0,97.0,1.0,2.0,0.17,0.2,0.07,1.35
,H/Att/Jan/87/C/1,961.0,7.82,0.01,577.0,4.4,220,23.57196261682243,107.0,128.0,68.0,22.0,260.0,97.0,1.0,0.4,0.13,0.19,0.09,0.53
,H/Att/Jan/87/C/2,970.0,7.7,0.21,582.0,4.4,220,23.57196261682243,110.0,130.0,70.0,21.0,260.0,101.0,1.0,0.5,0.11,0.2,0.1,0.64
"Dhoke
Ghandian
Langer",H/Att/Jan/88/C/1,858.0,7.6,0.0,515.0,2.4,120,23.57196261682243,30.0,170.0,72.0,23.0,275.0,69.0,1.0,20.0,0.17,0.36,0.12,1.39
,H/Att/Jan/88/C/2,743.0,7.33,0.01,446.0,4.6,230,23.57196261682243,41.0,39.0,80.0,19.0,280.0,45.0,3.0,8.0,0.21,0.34,0.1,1.42
,H/Att/Jan/88/C/3,759.0,7.4,0.15,572.0,7.8,225,23.57196261682243,38.0,38.0,79.0,20.0,278.0,51.0,1.0,7.0,0.19,0.29,0.12,1.42
Aurangabad,H/Att/Jan/90/C/1,3970.0,7.23,0.55,2461.0,10.4,520,23.57196261682243,490.0,466.0,304.0,192.0,1550.0,204.0,15.0,90.0,0.2,0.31,0.09,1.01
,H/Att/Jan/90/C/2,6961.0,7.28,0.01,4316.0,4.5,225,23.57196261682243,980.0,419.0,298.0,269.0,1850.0,692.0,5.0,320.0,0.21,0.36,0.1,0.02
Choura Sharif,H/Att/Jan/91/S/1,580.0,7.52,0.0,348.0,3.8,190,23.57196261682243,21.0,18.0,44.0,22.0,200.0,44.0,2.0,15.0,0.19,0.45,0.15,2.2
,H/Att/Jan/91/C/1,593.0,8.13,0.01,356.0,3.7,185,23.57196261682243,20.0,23.0,44.0,24.0,210.0,45.0,2.0,15.0,0.23,0.43,0.2,2.0
,H/Att/Jan/91/C/2,615.0,7.72,0.0,369.0,3.7,185,23.57196261682243,35.0,35.0,48.0,24.0,220.0,47.0,2.0,8.0,0.21,0.39,0.05,2.19
Dhok Fateh,H/Att/Jan/93/S/1,992.0,7.54,4.49,595.0,7.2,360,23.57196261682243,40.0,81.0,40.0,15.0,160.0,154.0,1.0,2.0,0.2,0.34,0.05,0.2
,H/Att/Jan/93/C/2,990.0,8.57,1.21,594.0,6.7,335,23.57196261682243,41.0,84.0,34.0,13.0,140.0,156.0,12.0,3.0,0.17,0.33,0.07,0.79
,H/Att/Jan/94/C/2,946.0,7.77,0.36,568.0,7.7,385,23.57196261682243,18.0,50.0,40.0,19.0,180.0,150.0,1.0,3.0,0.2,0.39,0.07,0.39
Phatan mar,H/Att/Jan/95/S/1,637.0,7.66,0.26,382.0,3.2,160,23.57196261682243,62.0,60.0,36.0,17.0,160.0,85.0,1.0,5.0,0.21,0.25,0.05,1.05
,H/Att/Jan/95/C/2,637.0,8.18,0.16,382.0,3.2,160,23.57196261682243,60.0,63.0,34.0,18.0,160.0,85.0,1.0,6.0,0.19,0.25,0.03,0.54
"Dhoke
Manjokha",H/Att/Jan/96/S/1,641.0,7.26,0.01,385.0,4.5,225,23.57196261682243,41.0,20.0,58.0,36.0,295.0,22.0,1.0,8.0,0.2,0.22,0.05,0.75
,H/Att/Jan/97/C/1,844.0,7.81,0.02,506.0,4.8,240,23.57196261682243,71.0,90.0,76.0,38.0,345.0,37.0,1.0,5.0,0.18,0.17,0.09,0.28
,H/Att/Jan/97/C/2,850.0,7.7,0.22,510.0,4.8,240,23.57196261682243,68.0,92.0,80.0,34.0,338.0,35.0,1.0,6.0,0.21,0.15,0.03,0.15
"Dhok Jalli
Kund",H/Att/Jan/98/S/1,634.0,7.55,0.47,380.0,4.8,240,23.57196261682243,32.0,28.0,60.0,33.0,285.0,24.0,1.0,4.0,0.22,0.24,0.1,0.35
,H/Att/Jan/98/C/1,640.0,7.77,1.37,384.0,4.8,240,23.57196261682243,35.0,27.0,56.0,34.0,280.0,25.0,1.0,6.0,0.2,0.23,0.07,0.14
,H/Att/Jan/98/C/2,647.0,7.34,0.01,388.0,4.8,240,23.57196261682243,30.0,26.0,56.0,34.0,280.0,26.0,1.0,6.0,0.19,0.25,0.06,0.09
Chapri Khass,H/Att/Jan/99/S/1,471.0,7.74,0.12,273.0,5.0,150,23.57196261682243,12.0,12.0,40.0,15.0,160.0,32.0,1.0,13.0,0.21,0.53,0.09,5.22
,H/Att/Jan/99/S/2,473.0,7.69,0.01,274.0,5.0,150,23.57196261682243,14.0,14.0,40.0,13.0,155.0,30.0,1.0,13.0,0.2,0.49,0.1,5.31
,H/Att/Jan/99/C/1,478.0,7.98,1.31,277.0,5.0,150,23.57196261682243,12.0,12.0,44.0,12.0,160.0,30.0,1.0,13.0,0.2,0.53,0.07,6.02
,H/Att/Jan/99/C/2,477.0,7.83,0.23,277.0,5.0,150,23.57196261682243,13.0,12.0,40.0,13.0,155.0,32.0,1.0,10.0,0.17,0.5,0.03,6.17
,H/Att/Jan/100/C/1,420.0,7.83,0.01,244.0,2.8,140,23.57196261682243,9.0,16.0,38.0,7.0,125.0,34.0,2.0,7.0,0.14,0.52,0.2,5.77
,H/Att/Jan/100/C/2,425.0,7.61,0.02,247.0,2.8,140,23.57196261682243,9.0,17.0,36.0,9.0,125.0,37.0,1.0,8.0,0.16,0.54,0.92,5.26
Jand khunda,H/Att/Jan/101/S/1,517.0,7.33,0.01,310.0,3.8,190,23.57196261682243,10.0,19.0,40.0,18.0,175.0,40.0,1.0,10.0,0.19,0.53,0.19,2.52
,H/Att/Jan/101/S/2,525.0,7.45,0.1,380.0,4.8,195,23.57196261682243,22.0,21.0,41.0,19.0,174.0,45.0,2.0,11.0,0.2,0.45,0.05,1.73
,H/Att/Jan/101/C/1,535.0,7.64,0.11,321.0,3.9,195,23.57196261682243,12.0,20.0,40.0,17.0,170.0,46.0,2.0,11.0,0.21,0.22,0.07,2.34
,H/Att/Jan/101/C/2,566.0,7.6,0.1,340.0,4.0,200,23.57196261682243,14.0,20.0,44.0,16.0,175.0,47.0,2.0,11.0,0.17,0.24,0.17,2.01
Mankoor,H/Att/Jan/102/S/1,546.0,7.58,0.01,328.0,3.4,170,23.57196261682243,12.0,25.0,36.0,26.0,195.0,39.0,2.0,14.0,0.15,0.31,0.04,2.99
,H/Att/Jan/102/C/1,548.0,7.58,0.01,329.0,3.4,170,23.57196261682243,14.0,24.0,36.0,26.0,195.0,34.0,2.0,14.0,0.13,0.22,0.05,2.16
,H/Att/Jan/102/C/2,545.0,7.7,0.34,327.0,3.4,170,23.57196261682243,14.0,12.0,36.0,27.0,200.0,33.0,2.0,14.0,0.16,0.52,0.1,2.72
Bhunder,H/Att/Jan/103/C/1,655.0,7.6,9.0,350.0,3.9,200,23.57196261682243,11.0,41.0,35.0,25.0,180.0,45.0,1.0,2.0,0.17,0.28,0.09,2.42
,H/Att/Jan/103/C/2,588.0,7.62,10.6,353.0,4.4,220,23.57196261682243,12.0,43.0,40.0,19.0,180.0,53.0,1.0,3.0,0.15,0.23,0.13,2.61
,H/Att/Jan/103/C/3,600.0,7.58,5.5,506.0,4.8,200,23.57196261682243,11.0,40.0,39.0,18.0,170.0,50.0,1.0,2.0,0.18,0.25,0.07,2.5
Dingi Nari,H/Att/Jan/104/C/1,580.0,7.71,0.02,348.0,3.9,195,23.57196261682243,14.0,25.0,40.0,17.0,170.0,52.0,2.0,13.0,0.17,0.25,0.05,3.27
,H/Att/Jan/104/C/2,584.0,7.53,0.91,350.0,3.9,195,23.57196261682243,14.0,27.0,40.0,18.0,175.0,50.0,2.0,14.0,0.19,0.25,0.04,2.53
,H/Att/Jan/104/C/3,582.0,7.51,0.93,349.0,3.6,180,23.57196261682243,12.0,27.0,40.0,17.0,170.0,46.0,2.0,13.0,0.18,0.25,0.03,2.05
Gulial,H/Att/Jan/105/C/1,3653.0,7.35,4.17,2263.0,6.4,320,23.57196261682243,332.0,810.0,204.0,77.0,830.0,452.0,3.0,43.0,0.19,0.75,0.05,0.34
,H/Att/Jan/105/C/2,780.0,7.92,14.3,468.0,6.3,315,23.57196261682243,40.0,20.0,40.0,22.0,190.0,108.0,0.8,2.0,0.17,0.47,0.07,0.41
,H/Att/Jan/105/C/3,800.0,7.67,1.95,411.0,5.4,270,23.57196261682243,16.0,26.0,44.0,22.0,200.0,65.0,1.0,10.0,0.23,0.41,0.1,0.42
Chapri,H/Att/Jan/106/S/1,482.0,7.05,0.42,280.0,3.2,160,23.57196261682243,7.0,20.0,40.0,19.0,180.0,23.0,1.0,12.0,0.2,0.41,1.0,4.28
,H/Att/Jan/106/C/1,475.0,7.98,0.21,276.0,3.1,155,23.57196261682243,7.0,19.0,40.0,21.0,185.0,23.0,1.0,12.0,0.19,0.43,0.07,0.41
,H/Att/Jan/106/C/2,478.0,7.52,0.0,277.0,3.2,160,23.57196261682243,8.0,17.0,40.0,19.0,180.0,23.0,1.0,11.0,0.17,0.43,0.09,0.56
Basal,H/Att/Jan/107/S/1,630.0,7.65,0.0,378.0,4.0,200,23.57196261682243,42.0,44.0,64.0,21.0,245.0,27.0,2.0,7.0,0.19,0.27,0.05,0.55
,H/Att/Jan/107/C/1,758.0,7.98,0.14,455.0,5.0,250,23.57196261682243,43.0,29.0,60.0,36.0,300.0,40.0,3.0,12.0,0.16,0.39,0.03,0.67
,H/Att/Jan/107/C/2,666.0,7.98,0.13,400.0,4.8,240,23.57196261682243,34.0,30.0,56.0,32.0,225.0,43.0,4.0,6.0,0.17,0.32,0.14,0.23
"Batti Ban
Basal",H/Att/Jan/108/C/1,741.0,8.28,5.05,445.0,6.9,345,23.57196261682243,21.0,6.0,16.0,15.0,100.0,140.0,0.9,0.5,0.2,0.36,0.29,4.59
,H/Att/Jan/108/C/2,746.0,8.14,6.06,448.0,6.7,335,23.57196261682243,10.0,19.0,16.0,12.0,90.0,143.0,1.0,2.0,0.19,0.33,0.28,2.27
Marmaki,H/Att/Jan/109/S/1,852.0,7.6,0.03,511.0,5.4,270,23.57196261682243,84.0,36.0,64.0,21.0,245.0,91.0,1.0,2.0,0.2,0.27,0.1,0.13
,H/Att/Jan/110/C/2,368.0,7.75,7.59,202.0,3.0,150,23.57196261682243,12.0,11.0,40.0,12.0,150.0,12.0,1.0,1.0,0.23,0.22,0.1,1.22
Thatta,H/Att/Jan/111/S/1,560.0,7.38,0.01,336.0,5.0,250,23.57196261682243,11.0,20.0,40.0,24.0,200.0,44.0,3.0,3.0,0.22,0.23,0.06,0.8
,H/Att/Jan/111/C/1,566.0,7.33,0.01,340.0,5.0,250,23.57196261682243,14.0,19.0,40.0,24.0,200.0,47.0,3.0,3.0,0.19,0.24,0.17,0.87
,H/Att/Jan/111/C/2,557.0,7.34,0.04,334.0,4.9,245,23.57196261682243,14.0,21.0,40.0,23.0,195.0,44.0,3.0,3.0,0.2,0.24,0.05,0.8
Domail,H/Att/Jan/112/C/1,405.0,7.6,0.01,223.0,3.6,180,23.57196261682243,11.0,6.0,32.0,17.0,150.0,23.0,2.0,1.0,0.19,0.28,0.15,0.94
,H/Att/Jan/112/C/2,421.0,7.53,0.09,232.0,3.7,185,23.57196261682243,10.0,7.0,30.0,18.0,150.0,22.0,2.0,1.0,0.2,0.29,0.12,0.55
Rangli,H/Att/Jan/89/S/1,860.0,7.7,0.01,516.0,3.2,160,23.57196261682243,130.0,61.0,64.0,15.0,220.0,90.0,2.0,6.0,0.17,0.23,0.2,0.13
,H/Att/Jan/89/S/2,685.0,7.67,1.95,411.0,5.4,270,23.57196261682243,16.0,26.0,44.0,22.0,200.0,65.0,1.0,10.0,0.23,1.77,0.1,0.31
,H/Att/Jan/89/C/1,650.0,7.97,0.01,390.0,5.2,260,23.57196261682243,14.0,24.0,56.0,19.0,220.0,60.0,1.0,6.0,0.21,1.85,0.07,0.15
,H/Att/Jan/89/C/2,683.0,7.63,0.02,410.0,5.0,250,23.57196261682243,14.0,42.0,44.0,24.0,210.0,62.0,1.0,10.0,0.19,1.83,0.09,0.33
Chajji Mar,H/Att/Jan/127/S/1,970.0,7.24,0.02,582.0,5.6,280,23.57196261682243,51.0,34.0,148.0,10.0,330.0,34.0,1.0,22.0,0.17,0.2,0.2,7.21
,H/Att/Jan/127/S/2,744.0,7.31,0.3,446.0,4.8,240,23.57196261682243,36.0,23.0,76.0,21.0,290.0,41.0,1.0,16.0,0.17,0.2,0.08,0.24
,H/Att/Jan/127/C/1,640.0,7.7,0.18,384.0,4.2,210,23.57196261682243,19.0,24.0,72.0,16.0,245.0,35.0,1.0,14.0,0.16,0.21,0.14,0.37
,H/Att/Jan/127/C/2,672.0,7.68,0.41,403.0,4.4,220,23.57196261682243,28.0,29.0,84.0,12.0,260.0,31.0,1.0,12.0,0.18,0.21,0.12,2.34
Sidrial,I/Att/Faj/63/C/1,3167.0,7.9,0.4,1963.0,12.6,630,23.57196261682243,382.0,392.0,40.0,24.0,200.0,636.0,2.0,1.0,0.14,0.11,0.03,1.4
,I/Att/Faj/63/C/2,2195.0,8.4,9.97,1361.0,8.8,440,23.57196261682243,188.0,224.0,8.0,24.0,30.0,443.0,1.0,40.0,0.17,1.74,0.05,3.38
,I/Att/Faj/64/C/2,2467.0,8.1,0.24,1530.0,10.6,530,23.57196261682243,192.0,301.0,40.0,44.0,280.0,391.0,1.0,36.0,0.19,2.07,0.07,1.71
Dewal,I/Att/Faj/65/S/1,485.0,7.9,13.2,267.0,3.0,150,23.57196261682243,44.0,15.0,40.0,10.0,140.0,47.0,1.1,0.8,0.2,0.17,0.04,1.15
,I/Att/Faj/65/C/1,1615.0,7.5,0.92,1001.0,6.2,310,23.57196261682243,283.0,52.0,88.0,32.0,350.0,249.0,1.0,15.0,0.21,0.33,0.03,0.63
,I/Att/Faj/65/C/2,1683.0,7.5,6.95,1043.0,6.0,300,23.57196261682243,347.0,54.0,72.0,41.0,350.0,258.0,1.0,13.0,0.2,0.32,0.03,0.62
,I/Att/Faj/67/C/1,504.0,7.6,26.7,302.0,3.12,156,23.57196261682243,46.0,26.0,40.0,12.0,150.0,41.0,2.3,1.0,0.14,0.08,0.04,1.55
,I/Att/Faj/67/C/2,501.0,7.5,37.1,300.0,3.1,155,23.57196261682243,46.0,24.0,40.0,10.0,140.0,47.0,2.2,0.8,0.17,0.08,0.08,1.47
Jhandial,I/Att/Faj/68/S/1,480.0,7.8,45.0,264.0,3.0,150,23.57196261682243,43.0,17.0,45.0,9.0,150.0,45.0,2.6,1.0,0.19,0.12,0.19,8.01
,I/Att/Faj/68/C/1,482.0,7.6,57.0,265.0,3.0,150,23.57196261682243,46.0,15.0,40.0,7.0,130.0,49.0,3.1,1.0,0.2,0.1,0.03,1.25
,I/Att/Faj/68/C/2,483.0,7.7,50.0,266.0,3.0,150,23.57196261682243,42.0,12.0,44.0,5.0,130.0,48.0,2.1,1.0,0.19,0.09,0.04,1.92
Malal,I/Att/Faj/69/S/1,475.0,8.0,32.5,267.0,2.8,140,23.57196261682243,50.0,15.0,44.0,7.0,140.0,41.0,2.4,0.7,0.13,0.1,0.07,1.54
,I/Att/Faj/69/C/1,473.0,7.6,78.0,260.0,2.8,140,23.57196261682243,48.0,13.0,44.0,7.0,140.0,42.0,2.0,1.0,0.11,0.11,0.1,2.47
,I/Att/Faj/69/C/2,471.0,7.9,7.55,259.0,2.9,145,23.57196261682243,48.0,13.5,44.0,8.5,145.0,41.0,2.3,1.0,0.1,0.09,0.09,1.81
,I/Att/Faj/70/C/2,473.0,7.7,2.89,260.0,2.6,130,23.57196261682243,46.0,13.0,40.0,7.0,130.0,44.0,2.2,1.0,0.13,0.11,0.04,1.33
Phamra,I/Att/Faj/71/C/1,1553.0,8.3,0.62,963.0,1.2,60,23.57196261682243,40.0,32.0,8.0,10.0,60.0,311.0,0.5,15.0,0.13,2.63,0.07,2.76
,I/Att/Faj/71/C/2,1557.0,8.3,0.5,965.0,1.2,60,23.57196261682243,42.0,30.0,8.0,10.0,60.0,323.0,0.6,15.0,0.14,2.71,0.09,4.57
Gali Jagir,I/Att/Faj/72/S/1,1325.0,7.9,0.25,822.0,5.8,290,23.57196261682243,41.0,96.0,64.0,32.0,290.0,180.0,1.4,1.5,0.14,0.72,0.08,1.39
,I/Att/Faj/72/C/1,1302.0,8.0,0.68,807.0,5.8,290,23.57196261682243,40.0,90.0,64.0,32.0,290.0,173.0,1.3,1.5,0.13,0.69,0.03,1.09
,I/Att/Faj/72/C/2,1355.0,7.8,0.68,840.0,5.8,290,23.57196261682243,39.0,101.0,64.0,32.0,290.0,181.0,1.0,1.5,0.17,0.74,0.03,1.83
,I/Att/Faj/73/C/1,1358.0,8.4,0.01,842.0,3.1,155,23.57196261682243,110.0,71.0,32.0,18.0,155.0,237.0,2.0,15.0,0.2,0.99,0.04,0.35
,I/Att/Faj/75/C/2,1253.0,7.3,0.67,777.0,8.0,400,23.57196261682243,46.0,85.0,84.0,46.0,400.0,133.0,2.0,18.0,0.23,0.29,0.02,0.27
,I/Att/Faj/76/C/2,638.0,7.9,14.4,396.0,4.8,240,23.57196261682243,43.0,34.0,60.0,16.0,215.0,50.0,2.0,2.0,0.13,0.19,0.04,0.96
,I/Att/Faj/77/C/2,2785.0,7.2,0.83,1727.0,11.6,580,23.57196261682243,355.0,11.5,144.0,129.0,890.0,280.0,20.0,82.0,0.1,0.41,0.04,0.38
Mujahia,I/Att/Faj/78/S/1,645.0,8.2,23.2,400.0,5.2,260,23.57196261682243,28.0,28.0,40.0,19.0,180.0,10.0,1.0,2.5,0.11,0.18,0.06,0.78
,I/Att/Faj/78/C/1,1220.0,8.1,1.21,756.0,8.6,430,23.57196261682243,124.0,30.0,40.0,36.0,250.0,191.0,1.0,4.0,0.19,0.27,0.08,1.5
,F/Att/Faj/88/C/1,360.0,7.78,55.0,198.0,29.0,145,23.57196261682243,16.0,9.0,40.0,16.0,165.0,11.0,0.3,1.0,0.21,0.21,0.06,0.01
,F/Att/Faj/88/C/2,5680.0,7.12,5.07,3408.0,15.2,760,23.57196261682243,878.0,887.0,720.0,219.0,2700.0,134.0,0.3,2.0,0.23,0.25,0.17,0.31
,F/Att/Faj/89/C/1,9460.0,6.8,1.15,5676.0,18.4,920,23.57196261682243,1280.0,996.0,1160.0,292.0,4100.0,401.0,3.0,210.0,0.11,0.27,0.09,0.64
,F/Att/Faj/89/C/2,1107.0,7.3,6.16,686.0,6.2,310,23.57196261682243,116.0,78.0,48.0,31.0,250.0,153.0,0.5,3.0,0.19,0.45,0.68,0.35
Hattar,F/Att/Faj/90/S/1,806.0,7.1,8.46,500.0,6.6,330,23.57196261682243,58.0,19.0,76.0,26.0,295.0,70.0,1.0,1.0,0.14,0.32,0.68,2.31
,F/Att/Faj/90/C/1,850.0,7.11,16.5,527.0,6.6,330,23.57196261682243,90.0,12.0,76.0,26.0,295.0,80.0,0.1,1.0,0.13,0.29,0.41,1.05
,F/Att/Faj/90/C/2,747.0,7.28,12.0,448.0,5.6,280,23.57196261682243,70.0,23.0,56.0,22.0,230.0,83.0,0.3,1.0,0.17,0.24,0.06,1.4
Kanial,F/Att/Faj/91/S/1,756.0,7.28,1.62,469.0,5.4,270,23.57196261682243,56.0,38.0,70.0,37.0,330.0,43.0,2.0,1.9,0.11,0.26,0.22,6.02
,F/Att/Faj/91/C/1,742.0,7.48,4.81,742.0,7.6,380,23.57196261682243,78.0,26.0,76.0,26.0,295.0,50.0,0.1,2.0,0.18,0.27,0.24,0.4
,F/Att/Faj/91/C/2,2780.0,7.28,0.16,1724.0,12.0,600,23.57196261682243,381.0,270.0,380.0,80.0,1280.0,90.0,58.0,1.2,0.13,0.17,0.07,0.09
Mehlo,F/Att/Faj/92/S/1,755.0,7.26,0.35,453.0,5.2,260,23.57196261682243,71.0,25.0,88.0,19.0,300.0,56.0,0.2,4.0,0.12,0.32,0.13,0.09
,F/Att/Faj/92/C/1,794.0,7.58,0.13,492.0,6.0,300,23.57196261682243,59.0,36.0,88.0,27.0,330.0,45.0,0.1,1.0,0.16,0.29,0.17,0.31
,F/Att/Faj/92/C/2,780.0,7.44,0.23,483.0,6.1,305,23.57196261682243,56.0,30.0,84.0,22.0,300.0,50.0,0.2,3.0,0.17,0.31,0.01,0.38
Bango,F/Att/Faj/93/S/1,640.0,7.03,0.32,397.0,6.0,300,23.57196261682243,18.0,17.0,50.0,35.0,270.0,40.0,0.4,0.6,0.21,0.21,0.06,0.54
,F/Att/Faj/93/C/1,480.0,7.37,0.15,288.0,4.2,210,23.57196261682243,12.0,16.0,48.0,22.0,210.0,23.0,0.7,1.0,0.17,0.22,0.28,0.51
Kissanah,F/Att/Faj/94/S/1,500.0,7.43,4.66,300.0,4.2,210,23.57196261682243,25.0,7.0,50.0,18.0,200.0,30.0,0.4,1.8,0.21,0.23,0.1,0.52
,F/Att/Faj/94/C/1,497.0,7.7,0.21,298.0,4.2,210,23.57196261682243,25.0,10.0,54.0,18.0,210.0,31.0,0.4,2.0,0.19,0.19,0.32,6.12
,F/Att/Faj/95/C/2,476.0,7.49,0.36,271.0,4.0,200,23.57196261682243,16.0,12.0,50.0,18.0,200.0,25.0,0.6,1.0,0.2,0.23,0.05,0.27
Amir Khan,F/Att/Faj/96/S/1,1150.0,7.33,2.37,713.0,8.8,440,23.57196261682243,47.0,115.0,120.0,41.0,470.0,50.0,0.4,3.0,0.21,0.42,0.04,0.29
,F/Att/Faj/97/C/1,964.0,7.09,0.16,598.0,7.8,390,23.57196261682243,37.0,55.0,128.0,29.0,440.0,35.0,0.3,1.0,0.19,0.49,0.06,0.1
Turbhati,F/Att/Faj/98/S/1,862.0,6.87,0.31,534.0,7.4,370,23.57196261682243,18.0,15.0,120.0,36.0,450.0,12.0,0.2,13.0,0.23,0.43,0.06,0.28
,F/Att/Faj/99/C/1,785.0,7.5,2.39,471.0,7.0,350,23.57196261682243,11.0,20.0,98.0,38.0,400.0,15.0,0.3,7.0,0.2,0.51,0.04,0.53
,F/Att/Faj/99/C/2,799.0,7.53,0.91,479.0,7.0,350,23.57196261682243,12.0,22.0,96.0,39.0,400.0,15.0,0.5,4.0,0.21,0.43,0.08,0.09
,F/Att/Faj/100/C/1,710.0,7.77,0.92,426.0,6.4,320,23.57196261682243,20.0,7.0,60.0,35.0,295.0,33.0,1.0,4.0,0.23,0.47,0.1,0.31
,F/Att/Faj/101/C/1,913.0,7.16,0.29,548.0,7.6,380,23.57196261682243,40.0,83.0,112.0,27.0,390.0,50.0,0.6,2.0,0.2,0.38,0.11,0.58
,F/Att/Faj/101/C/2,910.0,7.58,0.26,546.0,7.2,360,23.57196261682243,39.0,51.0,104.0,32.0,390.0,36.0,1.0,1.0,0.22,0.35,0.06,2.31
,F/Att/Faj/102/C/1,985.0,7.41,0.32,611.0,7.6,380,23.57196261682243,2.5,77.0,116.0,39.0,450.0,40.0,0.5,8.0,0.21,0.48,0.1,0.31
,F/Att/Faj/103/C/3,895.0,7.2,0.32,537.0,7.6,380,23.57196261682243,27.0,35.0,124.0,24.0,410.0,32.0,2.0,8.0,0.16,0.47,0.04,0.25
Pero Shahi,F/Att/Faj/104/S/1,956.0,6.87,0.11,574.0,7.2,360,23.57196261682243,4.6,76.0,112.0,36.0,430.0,31.0,0.6,3.0,0.14,0.46,0.04,1.92
Dharak,F/Att/Faj/105/S/1,1038.0,7.22,11.4,644.0,6.6,330,23.57196261682243,56.0,86.0,124.0,42.0,485.0,46.0,0.4,13.0,0.17,0.46,0.05,0.8
,F/Att/Faj/105/C/1,1046.0,7.33,1.92,649.0,6.4,320,23.57196261682243,60.0,90.0,108.0,49.0,470.0,50.0,0.1,11.0,0.19,0.46,0.1,0.47
,F/Att/Faj/105/C/2,1050.0,7.4,3.29,651.0,6.3,315,23.57196261682243,58.0,85.0,136.0,39.0,500.0,52.0,0.3,10.0,0.15,0.45,0.12,0.22
Ajuwala,F/Att/Faj/107/S/1,490.0,7.34,42.1,270.0,4.2,210,23.57196261682243,18.0,5.0,40.0,15.0,160.0,34.0,0.1,1.0,0.19,0.2,0.07,0.47
,F/Att/Faj/107/C/1,630.0,7.42,6.4,378.0,5.0,250,23.57196261682243,14.0,10.0,56.0,36.0,290.0,25.0,0.1,9.2,0.18,1.02,0.06,5.26
,F/Att/Faj/108/C/2,960.0,7.17,54.0,595.0,7.0,350,23.57196261682243,52.0,50.0,80.0,49.0,400.0,56.0,0.5,6.0,0.22,0.61,0.05,0.37
,F/Att/Faj/109/C/2,1140.0,7.78,12.8,684.0,4.6,230,23.57196261682243,180.0,88.0,72.0,32.0,310.0,119.0,0.1,2.0,0.2,0.29,0.07,0.59
Gaggan,F/Att/Faj/110/S/1,1030.0,7.33,4.61,618.0,7.9,395,23.57196261682243,51.0,37.0,72.0,32.0,310.0,105.0,0.1,3.0,0.21,0.52,0.03,0.23
,F/Att/Faj/110/C/1,1237.0,7.13,9.71,742.0,7.2,360,23.57196261682243,124.0,76.0,60.0,41.0,320.0,133.0,0.5,7.0,0.17,0.77,0.06,0.43
Kot Bala,F/Att/Faj/111/S/1,1110.0,7.67,32.2,666.0,4.8,240,23.57196261682243,124.0,112.0,64.0,32.0,290.0,108.0,2.0,9.0,0.2,0.29,0.03,0.21
,F/Att/Faj/111/C/1,1650.0,7.51,3.23,990.0,5.0,250,23.57196261682243,333.0,115.0,128.0,65.0,590.0,120.0,0.2,3.0,0.21,0.53,0.03,0.49
Dhoke Jhango,F/Att/Faj/112/S/1,1642.0,7.36,0.98,985.0,6.4,320,23.57196261682243,298.0,94.0,108.0,56.0,500.0,152.0,0.2,5.0,0.15,0.38,0.05,1.16
,F/Att/Faj/112/C/1,1705.0,7.67,0.54,1023.0,5.9,295,23.57196261682243,345.0,56.0,124.0,45.0,495.0,175.0,1.0,7.0,0.17,0.36,0.09,0.15
,F/Att/Faj/112/C/2,1419.0,7.47,1.59,851.0,5.6,280,23.57196261682243,260.0,54.0,116.0,38.0,445.0,145.0,0.2,4.0,0.23,0.34,0.1,1.17
