Water_Supply_Scheme,Sample_Code,EC,pH,Turbidity,TDS,Alkalinity,HCO3,CO3,Cl,SO4,Ca,Mg,Hardness,Na,K,NO3_N,PO_{4},F,Fe,As
Tasamohra,I/CHA/CHA/38/S/1,1565.0,7.94,9.0,939.0,5.7,285,23.57196261682243,167.0,237.0,90.0,6.0,250.0,228.0,2.0,1.0,0.05,0.53,0.2,1.23
,I/CHA/CHA/38/C/1,1330.0,8.14,0.36,798.0,5.8,290,23.57196261682243,167.0,142.0,32.0,27.0,190.0,215.0,1.0,0.5,0.06,0.44,0.12,0.5
,I/CHA/CHA/38/C/2,1335.0,7.95,1.19,801.0,5.8,290,23.57196261682243,183.0,138.0,32.0,27.0,190.0,213.0,1.0,4.567280442804428,0.04,0.45,0.14,0.94
Kotly,I/CHA/CHA/39/S/1,1350.0,7.74,3.27,810.0,7.3,365,23.57196261682243,111.0,137.0,20.0,36.0,200.0,210.0,1.0,4.567280442804428,0.09,0.47,0.52,0.85
,I/CHA/CHA/39/C/1,1705.0,7.75,10.9,1023.0,6.5,325,23.57196261682243,220.0,213.0,76.0,27.0,300.0,243.0,2.0,1.0,0.03,0.52,0.68,0.97
,I/CHA/CHA/39/C/2,1710.0,7.82,6.41,1026.0,6.5,325,23.57196261682243,224.0,211.0,78.0,26.0,300.0,240.0,2.0,1.0,0.07,0.54,0.35,0.93
"Mughal
Mughlan",I/CHA/CHA/40/C/1,2440.0,7.9,2.08,1464.0,8.6,430,23.57196261682243,287.0,370.0,32.0,29.0,200.0,466.0,1.0,5.0,0.13,1.81,0.31,0.09
,I/CHA/CHA/40/C/2,1544.0,7.44,4.18,926.0,11.0,550,23.57196261682243,129.0,132.0,92.0,93.0,615.0,112.0,0.9,1.0,0.14,0.9,1.25,0.7
Behkri,I/CHA/CHA/41/C/1,1110.0,8.06,1.94,666.0,7.8,390,23.57196261682243,90.0,65.0,24.0,19.0,140.0,205.0,3.0,1.0,0.1,0.39,0.44,0.4
,I/CHA/CHA/41/C/2,2089.0,7.98,26.4,1253.0,5.9,295,23.57196261682243,178.0,176.0,100.0,99.0,660.0,153.0,12.0,80.0,0.13,0.36,0.21,0.1
Dhudial,I/CHA/CHA/42/C/1,2130.0,7.6,0.19,1278.0,6.0,300,23.57196261682243,198.0,161.0,52.0,94.0,515.0,220.0,3.0,72.0,0.17,0.32,0.17,0.21
,I/CHA/CHA/42/C/2,850.0,7.54,0.2,510.0,7.0,350,23.57196261682243,27.0,30.0,60.0,29.0,270.0,91.0,0.8,9.0,0.1,0.53,0.06,0.02
Pinwal,P/CHA/CHA/43/S/1,1055.0,7.84,1.98,60.0,7.6,380,23.57196261682243,60.0,57.0,60.0,40.0,315.0,106.0,2.2,7.0,0.06,0.3,0.43,0.38
,P/CHA/CHA/43/S/2,1103.0,7.91,0.11,62.0,7.9,395,23.57196261682243,65.0,50.0,62.0,47.0,350.0,95.0,1.8,5.0,0.01,0.33,0.25,0.29
,P/CHA/CHA/43/C/2,1084.0,8.17,2.19,64.0,7.4,370,23.57196261682243,62.0,64.0,64.0,40.0,325.0,102.0,2.0,6.0,0.14,0.34,0.15,0.78
Chakral,P/CHA/CHA/44/C/1,98.2,8.19,3.13,46.0,7.2,360,23.57196261682243,209.0,190.0,46.0,26.0,220.0,288.0,1.9,7.0,0.11,0.64,0.06,0.7
,P/CHA/CHA/44/C/2,4730.0,7.9,1.12,216.0,8.0,400,23.57196261682243,670.0,710.0,216.0,160.0,200.0,482.0,51.0,75.0,0.09,0.44,0.03,0.32
Kariala,P/CHA/CHA/45/S/1,975.0,7.87,1.53,40.0,7.1,355,23.57196261682243,57.0,46.0,40.0,12.0,150.0,162.0,4.8,7.0,0.07,0.23,0.05,0.22
,P/CHA/CHA/45/C/1,972.0,7.9,1.07,38.0,7.2,360,23.57196261682243,56.0,46.0,38.0,13.0,150.0,162.0,4.5,7.0,0.04,0.23,0.06,0.89
,P/CHA/CHA/46/C/2,625.0,8.06,0.03,48.0,5.3,265,23.57196261682243,29.0,21.0,48.0,23.0,215.0,46.0,2.5,2.0,0.07,0.22,0.2,0.18
Dheedwal,P/CHA/CHA/47/S/1,715.0,8.01,8.96,30.0,5.0,250,23.57196261682243,40.0,35.0,30.0,16.0,140.0,109.0,2.8,3.0,0.09,0.18,0.05,0.75
,P/CHA/CHA/47/S/2,810.0,8.1,0.33,28.0,6.0,300,23.57196261682243,47.0,42.0,28.0,19.0,150.0,131.0,3.2,4.0,0.1,0.19,0.04,0.53
,P/CHA/CHA/47/C/1,764.0,8.19,0.97,28.0,5.9,295,23.57196261682243,42.0,35.0,28.0,16.0,135.0,114.0,3.0,3.0,0.11,0.18,0.07,0.89
,P/CHA/CHA/47/C/2,802.0,8.09,2.33,32.0,5.9,295,23.57196261682243,48.0,44.0,32.0,18.0,155.0,123.0,2.9,4.0,0.09,0.2,0.05,0.54
Boole Hajial,P/CHA/CHA/48/C/1,1912.0,7.57,2.74,48.0,12.0,600,23.57196261682243,138.0,136.0,48.0,56.0,350.0,286.0,3.6,21.0,0.1,0.78,0.02,0.28
,P/CHA/CHA/48/C/2,1040.0,7.44,2.53,60.0,6.6,330,23.57196261682243,60.0,101.0,60.0,24.0,250.0,123.0,3.6,15.0,0.13,0.23,0.52,0.18
Saighlabad,P/CHA/CHA/49/S/1,745.0,7.91,1.08,35.0,5.5,275,23.57196261682243,42.0,22.0,35.0,31.0,215.0,77.0,2.9,4.0,0.07,0.2,0.03,0.94
,P/CHA/CHA/49/S/3,796.0,8.23,5.41,40.0,6.0,300,23.57196261682243,44.0,27.0,40.0,32.0,230.0,97.0,1.7,8.0,0.04,0.3,1.02,0.55
